,uuid,score
0,743a9816-8e48-5c10-ba55-a50ab06ccd09,27
2,a62b9a37-0668-5ab3-9e95-da83c16a6ad4,26
1,33207ba1-9b73-5750-8c0d-8ccdf7cc0ecc,26
3,fc2be2a6-f92a-5192-a194-17389d672b97,25
5,11be8185-b417-50e1-b65e-071d8b53790b,25
4,375fec50-a176-5992-95a1-f87c3ca10313,25
6,61d40709-da51-531a-83ed-fced4dc119b5,24
7,fa23411c-b01d-52c5-a10e-4e6491966d4a,24
8,0e08d3f0-5b2f-5bf9-874f-80f5e0161e1d,24
9,a04a2d2c-f011-5e0c-998e-10cfc5b0f5b0,23
10,0067e479-8be2-5ede-bc6f-b9e1ead10bc3,23
11,f6388249-04ff-5a33-9536-92be13102901,22
14,e54a2c1d-b57a-5e43-a6a1-314a4f10d229,21
12,a78f6832-813b-5784-9780-5ebea54fc81d,21
13,62ccfd9a-8bf6-5da6-b342-bc6017176751,21
15,1547e828-9b75-550c-a4ad-4cd6f8885651,20
16,8dec5972-cb92-5a7e-b49d-7df042a989bf,19
17,2d9612f0-6b13-5336-8d55-a2b62c64d95a,19
18,15736f26-082e-5d13-a885-790bdad060ca,18
19,79dc55f3-0285-55aa-9eec-399b387a20ed,18
20,164169cd-e8a9-5d56-9615-5d3d5a2eec32,18
24,42d95a93-f105-5548-9d88-249f0fe1ea7e,17
23,692f3489-768a-543e-a333-d479874f251f,17
22,8d598ce8-68ba-5cc7-9f29-20c8a44c85e0,17
21,cec12be5-7afb-5bc9-84ac-b61ddae3733c,17
25,a59caf1b-6840-5401-9654-e89d29b3cfa9,16
26,771018d0-0437-5217-9dda-b827a62f419c,15
27,401e8247-368c-5aeb-b100-a4ebaf6199fd,15
28,536a4d03-6d4c-5eef-90d1-0176ecc8d787,15
29,9a4019a2-c689-577e-8782-9d5f5a8f9831,15
30,d7a5c9b6-52ec-5105-a822-2e889a875209,15
31,bb6eb1ce-f083-5763-b623-74870636a7a9,15
35,984f9903-45cb-58a0-8145-62fb1879c6b3,14
34,0eb3f673-cf13-5279-b2c5-e5249642b3c5,14
32,63f456a6-12c3-5232-8e41-8ac9e64ab742,14
33,44520a55-f4dd-5385-9671-52bca38c5abf,14
36,8fe1bc53-58a3-5702-8df5-917b95e5431b,13
37,abbecef2-5ff0-56cc-8c90-42f7b74799ab,13
38,bf214c62-8a83-585f-b736-1bd8181f3ad1,13
39,99155fb0-86d0-5aa3-a71c-8b278be92f91,13
40,25d65823-bcf9-52f9-a0e8-c51452a55926,13
44,d29818fa-11d6-5b6a-abd9-f4bfabf2031e,12
46,6e57e3cf-3b62-550f-a2a2-d9fbfef2563f,12
45,3561f408-7b53-52d6-8b2c-a38b2a3595ca,12
43,666f3b0e-a215-5120-9294-018a66e2a245,12
41,b5e0a97a-0335-584b-ae75-299e6486fc47,12
42,ae6a6bf3-659a-50c7-b214-7ef96f3bff7b,12
47,71c4a5e0-78b0-5252-ab74-6818018a67a0,11
49,798dde6a-e0e8-5eb0-99eb-17f27653d29a,11
48,b4a7c8bd-c47c-5620-ab77-0e3003513000,11
50,f3a51b08-9902-5ca6-84af-8002f0a39012,10
51,bd23b852-ee41-5d02-a9ea-e18d1c8574ff,10
54,7855ae88-967e-5f25-8f52-b8d43ef0f2ec,9
55,854d864a-c75a-5d00-a32c-e31ceaab57f5,9
56,066f0d7b-c40a-58a9-989a-a0f55f3f2ad2,9
53,b223a90e-4aec-51ad-aa5b-47c1cd28d564,9
52,931fb34f-0b09-5503-bdd9-3632e2957e3b,9
58,c8ad4d9f-4d07-53a5-9b57-9aaba1357318,8
59,5c3a6d80-d6c2-5b81-beef-c394c608892e,8
57,0cf5629e-d274-53cc-9f12-439d225256c7,8
60,a1c109eb-426c-5870-b49a-7b5c470458f3,7
61,20ce8cb8-eb7f-52dd-8a4d-ea92c9c5f231,7
62,b409779f-6752-5fae-b44b-267cc45faafd,7
63,7beb2e41-5417-5a23-bf43-b01a8a591de3,7
64,d1f3b1a5-a76f-5fde-87b3-f86b97462a37,6
65,ee4e88c8-adc4-584b-9478-520a2f0612aa,6
68,8452cec3-3da4-532d-93e3-52f5620dba58,5
69,6b705331-e4a9-51dd-9f1a-273b94fda9c3,5
67,2219df18-2460-54d1-903f-588bf5a9eb23,5
66,0bc0fb57-3f5a-557e-81e3-5e771a4c9571,5
71,e067645b-499d-5967-92ff-06fd80bac355,4
72,77281189-ab72-5b70-99fb-c8ec557be8a2,4
70,e7a753b2-ff50-5252-aa67-3beda476aa13,4
73,6e40e574-d41f-549e-a68c-b66dfbb97062,3
74,bb43ca02-a738-57e0-87ae-9570e6a173f1,3
75,04b0fd2e-ea19-5ce8-b396-91c362cb0f05,3
76,b0656edf-fb55-5a33-a7e9-67f3019a2af9,3
78,e88d281b-9847-59f7-bc1a-3a39b47f409a,2
79,e5aaeec5-bc6a-5766-98c8-f92e66d45687,2
77,2eec8aec-83f7-5a96-8a94-57c516e2c1d5,2
80,23b8612c-5df0-5d7b-a4dd-442116dcc18b,1
81,a8875dfd-bfea-59fa-b5f1-42e813bcbc00,1
82,ffb581cc-0388-5fa2-9511-16c1accfdeb3,1
83,97c409c8-292c-5aba-af61-dfee040b8e31,1
84,4b375032-b45a-5de6-b8ec-01ed3f27557f,1
85,87c96800-21e8-51f3-88de-f238818f0d04,1
86,4458888e-33e3-5a13-af2b-78a2a9ecc26d,1
87,513689df-3139-5df5-b81f-da1b8594c45b,1
88,cbca41d1-a155-5089-a016-559aa12412cc,1
89,f89b0306-bbc1-56ca-9ddc-fe286d242ca8,1
