,uuid,score
0,bb6eb1ce-f083-5763-b623-74870636a7a9,24
1,62ccfd9a-8bf6-5da6-b342-bc6017176751,24
2,d02a315d-bd46-53a1-872a-2103167a5a7b,22
3,4ef04a3d-0181-51f7-86fc-c50c69296bf6,22
4,abbecef2-5ff0-56cc-8c90-42f7b74799ab,21
5,f6388249-04ff-5a33-9536-92be13102901,19
6,771018d0-0437-5217-9dda-b827a62f419c,19
7,9a847451-510d-5ea9-910e-bca78918e96f,19
9,bb43ca02-a738-57e0-87ae-9570e6a173f1,18
8,0067e479-8be2-5ede-bc6f-b9e1ead10bc3,18
10,dfb93608-0bcf-58d1-9187-083d15d3afc9,17
11,fa23411c-b01d-52c5-a10e-4e6491966d4a,16
12,375fec50-a176-5992-95a1-f87c3ca10313,16
13,770cab87-9f5e-5851-954d-30229ea0364d,16
14,4458888e-33e3-5a13-af2b-78a2a9ecc26d,15
15,1547e828-9b75-550c-a4ad-4cd6f8885651,14
16,d7a5c9b6-52ec-5105-a822-2e889a875209,13
17,8dec5972-cb92-5a7e-b49d-7df042a989bf,13
21,a62b9a37-0668-5ab3-9e95-da83c16a6ad4,12
20,931fb34f-0b09-5503-bdd9-3632e2957e3b,12
19,0257f390-05e4-5c78-87f4-8a76e8b03617,12
18,5c3a6d80-d6c2-5b81-beef-c394c608892e,12
22,164169cd-e8a9-5d56-9615-5d3d5a2eec32,10
23,79dc55f3-0285-55aa-9eec-399b387a20ed,9
24,d1f3b1a5-a76f-5fde-87b3-f86b97462a37,9
25,6e57e3cf-3b62-550f-a2a2-d9fbfef2563f,9
26,798dde6a-e0e8-5eb0-99eb-17f27653d29a,9
27,6b705331-e4a9-51dd-9f1a-273b94fda9c3,9
30,04b0fd2e-ea19-5ce8-b396-91c362cb0f05,8
31,23b8612c-5df0-5d7b-a4dd-442116dcc18b,8
29,25d65823-bcf9-52f9-a0e8-c51452a55926,8
28,ffb581cc-0388-5fa2-9511-16c1accfdeb3,8
32,2219df18-2460-54d1-903f-588bf5a9eb23,7
33,99155fb0-86d0-5aa3-a71c-8b278be92f91,7
34,401e8247-368c-5aeb-b100-a4ebaf6199fd,7
35,799d0fb4-f08c-5fa1-b7f6-d3ed7b8e6749,7
36,6e40e574-d41f-549e-a68c-b66dfbb97062,7
37,b409779f-6752-5fae-b44b-267cc45faafd,7
41,2eec8aec-83f7-5a96-8a94-57c516e2c1d5,6
42,87c96800-21e8-51f3-88de-f238818f0d04,6
43,0bc0fb57-3f5a-557e-81e3-5e771a4c9571,6
40,513689df-3139-5df5-b81f-da1b8594c45b,6
38,33207ba1-9b73-5750-8c0d-8ccdf7cc0ecc,6
39,e0da2922-6809-5880-9f0c-63468d338b55,6
44,0e08d3f0-5b2f-5bf9-874f-80f5e0161e1d,5
45,a04a2d2c-f011-5e0c-998e-10cfc5b0f5b0,5
46,e5aaeec5-bc6a-5766-98c8-f92e66d45687,5
47,7beb2e41-5417-5a23-bf43-b01a8a591de3,4
48,61d40709-da51-531a-83ed-fced4dc119b5,4
49,536a4d03-6d4c-5eef-90d1-0176ecc8d787,4
50,0ff6d71c-dc45-5a9a-bad5-7d1c7536391f,4
51,ae6a6bf3-659a-50c7-b214-7ef96f3bff7b,4
52,5cd10f0a-55c6-5422-a6bc-6a9b6a1e6dda,4
56,20ce8cb8-eb7f-52dd-8a4d-ea92c9c5f231,3
58,984f9903-45cb-58a0-8145-62fb1879c6b3,3
57,e54a2c1d-b57a-5e43-a6a1-314a4f10d229,3
53,11be8185-b417-50e1-b65e-071d8b53790b,3
55,556c50ae-14a2-5bf6-9ec8-76ce6b3dbc39,3
54,fba231fd-28b8-5adf-967a-3d96b090dca0,3
71,8c6d0fbd-88e8-5be5-9a5d-148ca1f7a2ea,2
70,db13722d-9889-5a6c-8e4a-9ce17e2175de,2
69,464276d3-47dd-599f-a116-39f10930596c,2
68,5baa2332-7f42-5d6b-ab48-279d994c331b,2
66,e7a753b2-ff50-5252-aa67-3beda476aa13,2
67,68037921-b288-5186-84c7-4798fb6a8736,2
63,2903e46d-3bde-5b44-8955-3a6c650e1e89,2
65,5e6448ea-940d-5326-aed4-da9a3f7188ce,2
62,8fe1bc53-58a3-5702-8df5-917b95e5431b,2
61,9a4019a2-c689-577e-8782-9d5f5a8f9831,2
60,0526473a-1184-5fc7-bdf1-5dbb2c4ed30f,2
59,57e53fe1-685d-5174-a61c-ccbbae0bff2c,2
64,63817332-05b9-574d-b273-6fe7042b97ac,2
79,b223a90e-4aec-51ad-aa5b-47c1cd28d564,1
84,7855ae88-967e-5f25-8f52-b8d43ef0f2ec,1
83,854d864a-c75a-5d00-a32c-e31ceaab57f5,1
82,a78f6832-813b-5784-9780-5ebea54fc81d,1
81,91709a61-d8a3-52fd-acc8-f0feeaeed542,1
80,e53ee034-7b33-5f1b-a072-9438cac90b40,1
76,97c409c8-292c-5aba-af61-dfee040b8e31,1
78,e081ebe4-0633-53de-a47b-1a1d7cd9af5d,1
77,63f456a6-12c3-5232-8e41-8ac9e64ab742,1
75,fc2be2a6-f92a-5192-a194-17389d672b97,1
74,71c4a5e0-78b0-5252-ab74-6818018a67a0,1
73,0148fd02-8118-5fc9-abf7-1548cf4e8a65,1
72,666f3b0e-a215-5120-9294-018a66e2a245,1
85,743a9816-8e48-5c10-ba55-a50ab06ccd09,1
