,uuid,score
0,33207ba1-9b73-5750-8c0d-8ccdf7cc0ecc,31
1,375fec50-a176-5992-95a1-f87c3ca10313,29
2,6941ea2e-00dd-580f-bf16-9d4085e88e75,28
3,ae6a6bf3-659a-50c7-b214-7ef96f3bff7b,25
4,a78f6832-813b-5784-9780-5ebea54fc81d,24
5,4458888e-33e3-5a13-af2b-78a2a9ecc26d,23
6,b5e0a97a-0335-584b-ae75-299e6486fc47,23
7,a04a2d2c-f011-5e0c-998e-10cfc5b0f5b0,22
8,1547e828-9b75-550c-a4ad-4cd6f8885651,22
9,771018d0-0437-5217-9dda-b827a62f419c,22
12,984f9903-45cb-58a0-8145-62fb1879c6b3,21
13,f6388249-04ff-5a33-9536-92be13102901,21
11,8c6d0fbd-88e8-5be5-9a5d-148ca1f7a2ea,21
10,79dc55f3-0285-55aa-9eec-399b387a20ed,21
14,d7a5c9b6-52ec-5105-a822-2e889a875209,20
15,cbca41d1-a155-5089-a016-559aa12412cc,20
16,cec12be5-7afb-5bc9-84ac-b61ddae3733c,20
17,62ccfd9a-8bf6-5da6-b342-bc6017176751,19
18,e54a2c1d-b57a-5e43-a6a1-314a4f10d229,19
19,abbecef2-5ff0-56cc-8c90-42f7b74799ab,19
21,5c3a6d80-d6c2-5b81-beef-c394c608892e,18
22,42d95a93-f105-5548-9d88-249f0fe1ea7e,18
20,6b705331-e4a9-51dd-9f1a-273b94fda9c3,18
24,a62b9a37-0668-5ab3-9e95-da83c16a6ad4,17
25,854d864a-c75a-5d00-a32c-e31ceaab57f5,17
23,692f3489-768a-543e-a333-d479874f251f,17
26,b409779f-6752-5fae-b44b-267cc45faafd,16
27,798dde6a-e0e8-5eb0-99eb-17f27653d29a,16
28,52dc6f29-6513-53f3-8461-475ba4cedffe,16
29,401e8247-368c-5aeb-b100-a4ebaf6199fd,16
30,15736f26-082e-5d13-a885-790bdad060ca,15
33,77281189-ab72-5b70-99fb-c8ec557be8a2,14
34,0eb3f673-cf13-5279-b2c5-e5249642b3c5,14
35,8dec5972-cb92-5a7e-b49d-7df042a989bf,14
32,7855ae88-967e-5f25-8f52-b8d43ef0f2ec,14
31,71c4a5e0-78b0-5252-ab74-6818018a67a0,14
36,bb6eb1ce-f083-5763-b623-74870636a7a9,13
37,fc2be2a6-f92a-5192-a194-17389d672b97,12
38,d29818fa-11d6-5b6a-abd9-f4bfabf2031e,12
39,2219df18-2460-54d1-903f-588bf5a9eb23,10
40,b0656edf-fb55-5a33-a7e9-67f3019a2af9,10
41,7beb2e41-5417-5a23-bf43-b01a8a591de3,10
45,8d598ce8-68ba-5cc7-9f29-20c8a44c85e0,9
46,bb43ca02-a738-57e0-87ae-9570e6a173f1,9
42,87c96800-21e8-51f3-88de-f238818f0d04,9
44,f3a51b08-9902-5ca6-84af-8002f0a39012,9
43,5d77edc1-f2da-597b-b5c3-599f85e11ce9,9
47,9a4019a2-c689-577e-8782-9d5f5a8f9831,8
48,b4a7c8bd-c47c-5620-ab77-0e3003513000,8
49,0257f390-05e4-5c78-87f4-8a76e8b03617,7
50,bf214c62-8a83-585f-b736-1bd8181f3ad1,7
51,20b33537-04c6-53a4-836c-ceae76d35911,7
52,6e57e3cf-3b62-550f-a2a2-d9fbfef2563f,6
53,536a4d03-6d4c-5eef-90d1-0176ecc8d787,6
57,a1c109eb-426c-5870-b49a-7b5c470458f3,5
59,20ce8cb8-eb7f-52dd-8a4d-ea92c9c5f231,5
58,0bc0fb57-3f5a-557e-81e3-5e771a4c9571,5
56,04b0fd2e-ea19-5ce8-b396-91c362cb0f05,5
55,0067e479-8be2-5ede-bc6f-b9e1ead10bc3,5
54,dfb93608-0bcf-58d1-9187-083d15d3afc9,5
60,0e08d3f0-5b2f-5bf9-874f-80f5e0161e1d,4
61,afdb72dd-d3cb-5842-8794-ba8a43e5b69e,4
62,fba231fd-28b8-5adf-967a-3d96b090dca0,3
63,799d0fb4-f08c-5fa1-b7f6-d3ed7b8e6749,3
64,e081ebe4-0633-53de-a47b-1a1d7cd9af5d,3
69,d02a315d-bd46-53a1-872a-2103167a5a7b,2
71,8452cec3-3da4-532d-93e3-52f5620dba58,2
70,666f3b0e-a215-5120-9294-018a66e2a245,2
65,e53ee034-7b33-5f1b-a072-9438cac90b40,2
68,c09f24b7-b798-5e71-9fcd-a314181f53a1,2
67,17d7ea30-81bf-57f7-9b67-cfcc9590710f,2
66,f89b0306-bbc1-56ca-9ddc-fe286d242ca8,2
72,bd23b852-ee41-5d02-a9ea-e18d1c8574ff,1
73,61d40709-da51-531a-83ed-fced4dc119b5,1
74,ee4e88c8-adc4-584b-9478-520a2f0612aa,1
75,5baa2332-7f42-5d6b-ab48-279d994c331b,1
76,61443aae-e1fa-5563-b7d2-ed2412dce799,1
77,e0da2922-6809-5880-9f0c-63468d338b55,1
78,e7a753b2-ff50-5252-aa67-3beda476aa13,1
79,931fb34f-0b09-5503-bdd9-3632e2957e3b,1
80,e88d281b-9847-59f7-bc1a-3a39b47f409a,1
81,4ef04a3d-0181-51f7-86fc-c50c69296bf6,1
82,23b8612c-5df0-5d7b-a4dd-442116dcc18b,1
83,57e53fe1-685d-5174-a61c-ccbbae0bff2c,1
84,164169cd-e8a9-5d56-9615-5d3d5a2eec32,1
